,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,Family income source,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day,Class Label,GPA,Attendance Parcentage
1,15-18 years,female,Bangla,Business,Home maker,Two Children,secondary,Masters/Equivalent and above,0-0.5 km,Private car,Other,Teaching facilities,Once,Mediam,Own business,83,85,75,51,83,82,54,500000,No,1 hours,No,3.66,80.4
2,above 18 years,male,Bangla,Agriculture,Home maker,Three Children,secondary,secondary,0-0.5 km,Rickshaw,Electricity,Teaching facilities,None,High,Farming,69,25,63,31,77,88,92,250000,Yes,2 hours,No,3.18,65.1
3,10-13 years,male,Bangla,Private sector,Agriculture,None,secondary,secondary,6-7 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Casual Wage,34,77,73,72,38,53,29,180000,No,0 to 30 minutes,Yes,2.69,56.2
4,13-15 years,female,Bangla,Public sector,Home maker,Two Children,Masters/ Equivalent and above,secondary,2-3 km,Rickshaw,Electricity,Teaching facilities,Once,Mediam,Formal Wage,36,88,91,85,44,56,52,400000,No,2 hours,No,3.23,75
5,13-15 years,female,English,Freelancer ,Home maker,Four or more,primary,secondary,1-2 km,Walk,Paraffin,Electricity,Once,Mediam,Own business,42,72,86,85,55,56,70,250000,No,3 hours,No,3.33,71.7
6,10-13 years,female,Bangla,Immigrant,Public sector,Three Children,primary,primary,1-2 km,Walk,Electricity,Teaching facilities,None,Low,Remittance,22,74,30,21,47,48,83,500000,No,2 hours,Yes,2.32,73.4
7,10-13 years,male,Bangla,Private sector,Business,None,secondary,secondary,2-3 km,Walk,Electricity,Water,None,Mediam,Casual Wage,46,65,49,84,42,84,38,750000,No,above 3 hours,No,2.91,56.3
8,10-13 years,female,Bangla,Agriculture,Home maker,Two Children,Masters/ Equivalent and above,primary,>7 km,Rickshaw,Electricity,Electricity,Once,High,Farming,88,49,64,35,85,78,43,400000,Yes,1 hours,No,3.16,92.8
9,13-15 years,male,Bangla,Private sector,Public sector,Three Children,secondary,secondary,2-3 km,Walk,Electricity,Toilet,None,Mediam,Casual Wage,37,55,90,66,26,82,88,450000,No,1 hours,No,3.17,67
10,13-15 years,female,Bangla,Worker,Immigrant,None,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Water,Once,High,Casual Wage,34,39,66,47,61,26,29,850000,Yes,2 hours,No,2.16,56.5
11,13-15 years,female,Bangla,Private sector,Home maker,None,Masters/ Equivalent and above,primary,>7 km,School Bus/Bus,Paraffin,Teaching facilities,None,Mediam,Casual Wage,53,75,37,87,33,82,45,700000,No,2 hours,No,2.94,66.2
12,13-15 years,male,Bangla,Worker,Freelancer,Three Children,Masters/ Equivalent and above,secondary,6-7 km,Rickshaw,Paraffin,Teaching facilities,None,Low,Casual Wage,53,41,85,63,61,76,29,850000,Yes,1 hours,No,2.91,69.9
13,13-15 years,female,Bangla,Private sector,Home maker,Four or more,primary,primary,6-7 km,Walk,Electricity,Teaching facilities,None,Mediam,Casual Wage,63,68,79,64,41,34,78,700000,Yes,0 to 30 minutes,No,3.05,91.6
14,10-13 years,male,Bangla,Unemployed,Home maker,None,Honors/ Equivalent ,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Pansion,38,87,52,91,69,79,34,850000,Yes,0 to 30 minutes,No,3.21,90.5
15,13-15 years,male,Bangla,Immigrant,Freelancer,None,secondary,secondary,0-0.5 km,Walk,Other,Water,Once,Mediam,Remittance,27,81,32,71,87,46,67,150000,Yes,above 3 hours,Yes,2.94,69.4
16,13-15 years,male,Bangla,Private sector,Home maker,Two Children,primary,primary,0.5-1 km,Private car,Paraffin,Teaching facilities,None,High,Casual Wage,45,62,73,81,81,59,33,700000,Yes,2 hours,No,3.1,92.4
17,10-13 years,female,Bangla,Immigrant,Business,Two Children,secondary,primary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Remittance,41,47,31,20,56,50,59,750000,Yes,2 hours,Yes,2.17,69.6
18,15-18 years,female,Bangla,Worker,Home maker,Two Children,secondary,secondary,2-3 km,Bicycle/motorbike,Paraffin,Teaching facilities,Once,High,Casual Wage,67,82,55,68,66,45,30,350000,No,1 hours,No,2.95,52.7
19,15-18 years,female,Bangla,Worker,Public sector,Two Children,secondary,Honors/Equivalent ,>7 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,50,39,42,87,80,58,53,220000,No,above 3 hours,No,2.92,65
20,10-13 years,female,Bangla,Freelancer ,Home maker,Four or more,Honors/ Equivalent ,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,Once,High,Own business,41,63,91,33,33,78,26,180000,No,3 hours,Yes,2.61,50.9
21,13-15 years,male,Bangla,Freelancer ,Home maker,Two Children,primary,None,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,Own business,27,65,56,63,54,55,38,650000,No,1 hours,No,2.56,59.5
22,10-13 years,female,Bangla,Worker,Public sector,Two Children,None,secondary,>7 km,Rickshaw,Electricity,Toilet,None,Low,Casual Wage,27,37,24,84,46,43,64,900000,No,above 3 hours,No,2.32,50.8
23,10-13 years,male,Bangla,Worker,Home maker,None,primary,secondary,2-3 km,Rickshaw,Electricity,Toilet,Once,Low,Casual Wage,81,69,26,53,37,22,23,850000,No,0 to 30 minutes,Yes,2.22,52.5
24,13-15 years,female,Bangla,Private sector,Business,Four or more,secondary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Low,Casual Wage,72,58,78,51,46,72,50,400000,Yes,above 3 hours,No,3.05,83.4
25,15-18 years,male,Bangla,Worker,Freelancer,None,secondary,Honors/Equivalent ,4-5 km,Walk,Electricity,Teaching facilities,None,Mediam,Casual Wage,49,33,29,42,53,28,33,650000,No,1 hours,Yes,1.91,43.5
26,10-13 years,female,Bangla,Immigrant,Business,Two Children,primary,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Other,Teaching facilities,None,Mediam,Remittance,67,48,22,72,59,56,26,550000,Yes,above 3 hours,Yes,2.5,68
27,10-13 years,female,Bangla,Business,Freelancer,None,primary,secondary,2-3 km,Rickshaw,Other,Water,None,Low,Own business,25,22,90,75,43,34,86,180000,Yes,3 hours,No,2.68,63.2
28,10-13 years,female,Bangla,Immigrant,Public sector,Two Children,secondary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,Once,Low,Remittance,39,48,68,50,40,35,23,200000,No,2 hours,Yes,2.16,59.5
29,13-15 years,female,Bangla,Public sector,Worker,Two Children,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,None,High,Formal Wage,24,76,34,28,75,69,43,450000,Yes,0 to 30 minutes,No,2.49,56.9
30,13-15 years,female,Bangla,Private sector,Home maker,Three Children,secondary,None,0-0.5 km,Walk,Other,Water,None,Mediam,Casual Wage,30,47,65,30,81,35,78,850000,No,1 hours,No,2.61,64.6
31,15-18 years,female,Bangla,Worker,Business,Two Children,secondary,primary,6-7 km,School Bus/Bus,Electricity,Toilet,Once,High,Casual Wage,39,84,65,85,21,77,32,200000,No,1 hours,No,2.88,56
32,13-15 years,female,Bangla,Agriculture,Home maker,Two Children,Masters/ Equivalent and above,Honors/Equivalent ,0.5-1 km,Rickshaw,Electricity,Teaching facilities,Once,High,Farming,74,33,51,84,88,68,46,600000,No,1 hours,No,3.17,78.8
33,10-13 years,female,Bangla,Worker,Home maker,Four or more,primary,secondary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,Once,High,Casual Wage,49,44,66,65,56,25,70,800000,No,2 hours,No,2.68,70.2
34,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,secondary,primary,0.5-1 km,School Bus/Bus,Other,Water,Once,Mediam,Remittance,21,67,24,92,53,92,81,300000,Yes,0 to 30 minutes,No,3.07,86.8
35,above 18 years,male,Bangla,Private sector,Public sector,Four or more,Honors/ Equivalent ,secondary,1-2 km,School Bus/Bus,Electricity,Toilet,None,High,Casual Wage,71,86,37,55,53,34,62,650000,Yes,1 hours,No,2.84,67.9
36,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,secondary,secondary,0-0.5 km,Walk,Electricity,Toilet,Once,Mediam,Remittance,76,60,36,47,28,68,45,300000,No,3 hours,No,2.57,73.9
37,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,None,secondary,0-0.5 km,Walk,Electricity,Toilet,None,Mediam,Remittance,60,55,67,62,65,52,38,650000,No,1 hours,No,2.85,57.8
38,10-13 years,male,Bangla,Worker,Home maker,Three Children,secondary,secondary,0-0.5 km,Rickshaw,Electricity,Teaching facilities,Once,Mediam,Casual Wage,24,87,58,36,68,68,86,750000,No,3 hours,No,3.05,78.9
39,13-15 years,female,Bangla,Immigrant,Home maker,None,Masters/ Equivalent and above,primary,4-5 km,School Bus/Bus,Electricity,Toilet,None,Low,Remittance,87,72,20,43,28,82,83,300000,Yes,3 hours,No,2.96,72.8
40,13-15 years,female,Bangla,Worker,Home maker,Three Children,secondary,None,2-3 km,Private car,Electricity,Toilet,None,Low,Casual Wage,52,61,65,38,49,23,79,450000,Yes,above 3 hours,No,2.62,69.7
41,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,primary,secondary,1-2 km,Bicycle/motorbike,Electricity,Electricity,Once,High,Remittance,69,28,72,38,77,70,44,750000,No,3 hours,No,2.84,64.7
42,10-13 years,male,Bangla,Public sector,Home maker,None,primary,None,0-0.5 km,Private car,Other,Teaching facilities,None,Mediam,Formal Wage,81,66,83,69,84,22,43,450000,Yes,3 hours,No,3.2,88.8
43,10-13 years,female,Bangla,Agriculture,Home maker,None,secondary,secondary,6-7 km,Bicycle/motorbike,Electricity,Electricity,None,High,Farming,83,79,21,66,23,75,26,900000,Yes,1 hours,No,2.66,50.8
44,13-15 years,female,Bangla,Agriculture,Home maker,None,secondary,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Other,Toilet,None,High,Farming,74,52,54,70,46,62,35,400000,Yes,3 hours,No,2.81,55.9
45,10-13 years,female,English,Freelancer ,Home maker,None,secondary,None,0-0.5 km,Private car,Electricity,Teaching facilities,None,High,Own business,69,21,38,50,47,32,90,150000,No,3 hours,Yes,2.48,73.2
